[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:07:54.764967', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:07:57.316009', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:07:58.628027', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:07:59.946528', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:01.254855', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:02.594605', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:03.901868', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:05.214375', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:06.518972', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:07.843498', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:09.161507', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:10.500893', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:11.824984', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:13.133599', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:14.444398', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:15.767989', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:17.080792', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:18.389226', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:19.717120', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:21.031663', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:22.340914', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:23.664637', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:24.974234', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:26.285637', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:27.596395', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:28.904324', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:30.216115', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:31.763972', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:33.084748', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:34.393881', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:35.709561', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:37.018951', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:38.347824', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:39.668571', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:40.983935', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:42.296917', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:43.611333', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:44.913824', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:46.225250', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:47.535772', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:48.843663', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:50.169080', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:51.497197', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:52.810641', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:54.132095', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:56.688528', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:08:58.016246', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:00.377389', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:01.724613', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:03.035554', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:04.347518', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:05.670778', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:06.981204', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:08.293041', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:09.603374', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:10.906442', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:12.230889', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:13.547445', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:14.863213', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:16.181637', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:17.504868', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:18.820687', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:20.133009', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:21.467856', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:22.786373', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:24.092047', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:25.402646', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:26.737008', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:28.045572', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:29.348916', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:30.664179', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:32.005318', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:33.313886', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
[PUBSUB] Published: {'id': 0, 'ts': '2025-08-12T07:09:34.633690', 'type': 'demo', 'payload': {'message': 'pubsub-event-0'}}
